log_id,maintenance_date,work_description,cost,drone_id
10000,2024-07-28,Thermal camera sensor recalibration and firmware patch application.,409.63,555
10001,2026-03-24,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,497.37,237
10002,2026-01-09,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,196.94,237
10003,2026-03-30,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,313.21,439
10004,2025-06-27,Replaced main battery connector due to pin corrosion and tested power draw under load.,947.77,183
10005,2025-03-21,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,152.61,522
10006,2026-03-15,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,819.11,157
10007,2025-12-13,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,765.5,466
10008,2026-03-19,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,921.2,496
10009,2026-01-19,Thermal camera sensor recalibration and firmware patch application.,306.65,516
10010,2025-05-31,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,631.78,498
10011,2025-10-05,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,386.35,128
10012,2025-07-24,Full airframe inspection; tightened all chassis screws and replaced GPS antenna cover.,244.25,271
10013,2026-02-09,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,911.73,352
10014,2025-02-24,Cleaned and tested obstacle avoidance proximity sensors; restored optimal range detection.,283.47,578
10015,2026-03-26,Replaced main battery connector due to pin corrosion and tested power draw under load.,979.23,247
10016,2025-11-03,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,582.91,405
10017,2026-02-03,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,164.05,391
10018,2026-01-09,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,783.76,232
10019,2025-11-26,Installed new vibration dampening mounts on the camera gimbal payload.,559.2,300
10020,2025-11-11,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,620.65,488
10021,2025-11-01,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,950.48,187
10022,2024-12-03,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,698.79,289
10023,2026-04-09,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,637.1,475
10024,2025-03-18,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,876.63,495
10025,2026-03-11,Thermal camera sensor recalibration and firmware patch application.,741.27,348
10026,2025-07-03,Updated flight controller firmware to version 4.2.1 and recalibrated IMU sensors.,495.34,208
10027,2024-02-06,Repaired cracked carbon fiber rotor arm using industrial epoxy and confirmed structural integrity.,826.99,260
10028,2024-11-16,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,715.47,551
10029,2025-11-07,Calibrated LIDAR sensor alignment and verified distance accuracy against known baseline.,805.27,208
10030,2026-01-22,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,630.62,169
10031,2024-12-10,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,768.59,352
10032,2026-03-12,Routine 100-hour service completed; replaced all four propellers and cleaned motor housings.,100.64,131
10033,2024-03-11,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,350.69,267
10034,2025-04-21,Rebuilt motor 3 entirely after bearing wear caused excessive in-flight vibration.,790.36,201
10035,2025-11-17,Thermal camera sensor recalibration and firmware patch application.,230.26,223
10036,2025-08-23,Preventive maintenance on folding mechanisms; lubricated hinges and checked locking pins.,458.43,297
10037,2025-06-03,Replaced landing gear strut assembly due to hairline fracture detected during pre-flight check.,463.31,322
10038,2026-01-06,Diagnostic run completed after hard landing; no internal structural damage found; replaced landing skids.,131.9,526
10039,2023-09-26,Swapped out ESC board on motor arm 2 after persistent overheating warnings.,585.81,241
10040,2025-10-02,Swapped out faulty telemetry transmitter module; signal latency now within normal parameters.,983.61,181
